 2.000e-02	5.70693e-01	4.90444e-03	4.90444e-03
 3.000e-02	5.68815e-01	1.10646e-02	1.10646e-02
 4.000e-02	5.66923e-01	1.97189e-02	1.97189e-02
 5.000e-02	5.65016e-01	3.08803e-02	3.08803e-02
 6.000e-02	5.63095e-01	4.45586e-02	4.45586e-02
 7.000e-02	5.61160e-01	6.07606e-02	6.07606e-02
 8.000e-02	5.59210e-01	7.94899e-02	7.94899e-02
 9.000e-02	5.57246e-01	1.00747e-01	1.00747e-01
 1.000e-01	5.55268e-01	1.24530e-01	1.24530e-01
 1.100e-01	5.53276e-01	1.50833e-01	1.50833e-01
 1.200e-01	5.51270e-01	1.79647e-01	1.79647e-01
 1.300e-01	5.49250e-01	2.10961e-01	2.10961e-01
 1.400e-01	5.47215e-01	2.44762e-01	2.44762e-01
 1.500e-01	5.45167e-01	2.81030e-01	2.81030e-01
 1.600e-01	5.43105e-01	3.19746e-01	3.19746e-01
 1.700e-01	5.41029e-01	3.60888e-01	3.60888e-01
 1.800e-01	5.38940e-01	4.04430e-01	4.04430e-01
 1.900e-01	5.36837e-01	4.50343e-01	4.50343e-01
 2.000e-01	5.34720e-01	4.98597e-01	4.98597e-01
 2.100e-01	5.32590e-01	5.49159e-01	5.49159e-01
 2.200e-01	5.30446e-01	6.01992e-01	6.01992e-01
 2.300e-01	5.28290e-01	6.57059e-01	6.57059e-01
 2.400e-01	5.26120e-01	7.14320e-01	7.14320e-01
 2.500e-01	5.23937e-01	7.73732e-01	7.73732e-01
 2.600e-01	5.21741e-01	8.35252e-01	8.35252e-01
 2.700e-01	5.19532e-01	8.98833e-01	8.98833e-01
 2.800e-01	5.17311e-01	9.64428e-01	9.64428e-01
 2.900e-01	5.15076e-01	1.03199e+00	1.03199e+00
 3.000e-01	5.12830e-01	1.10146e+00	1.10146e+00
 3.100e-01	5.10571e-01	1.17279e+00	1.17279e+00
 3.200e-01	5.08299e-01	1.24592e+00	1.24592e+00
 3.300e-01	5.06016e-01	1.32081e+00	1.32081e+00
 3.400e-01	5.03721e-01	1.39739e+00	1.39739e+00
 3.500e-01	5.01414e-01	1.47561e+00	1.47561e+00
 3.600e-01	4.99095e-01	1.55541e+00	1.55541e+00
