 -2.20e+00	 -8.00e+00	  2.21e-05	  1.80e-03	  7.40e-09	  5.36e+00	0.00000e+00	2.63747e+00	0.00000e+00
 -2.20e+00	 -7.50e+00	  2.21e-05	  1.80e-03	  1.22e-08	  3.25e+00	0.00000e+00	2.63747e+00	0.00000e+00
 -2.20e+00	 -7.00e+00	  2.21e-05	  1.80e-03	  2.01e-08	  1.97e+00	0.00000e+00	2.63747e+00	0.00000e+00
 -2.20e+00	 -6.50e+00	  2.21e-05	  1.80e-03	  3.32e-08	  1.20e+00	0.00000e+00	2.63747e+00	0.00000e+00
 -2.20e+00	 -6.00e+00	  2.21e-05	  1.80e-03	  5.47e-08	  7.25e-01	8.55439e-06	2.63747e+00	2.26272e-04
 -2.20e+00	 -5.50e+00	  2.21e-05	  1.80e-03	  9.02e-08	  4.40e-01	3.11333e-04	2.63747e+00	8.07028e-03
 -2.20e+00	 -5.00e+00	  2.21e-05	  1.80e-03	  1.49e-07	  2.67e-01	1.31503e-03	2.63748e+00	3.18941e-02
 -2.20e+00	 -4.50e+00	  2.21e-05	  1.80e-03	  2.45e-07	  1.62e-01	3.57778e-03	2.63751e+00	7.69314e-02
 -2.20e+00	 -4.00e+00	  2.21e-05	  1.80e-03	  4.04e-07	  9.82e-02	7.85399e-03	2.63762e+00	1.43410e-01
 -2.20e+00	 -3.50e+00	  2.21e-05	  1.80e-03	  6.67e-07	  5.95e-02	1.47962e-02	2.63785e+00	2.24988e-01
 -2.20e+00	 -3.00e+00	  2.21e-05	  1.80e-03	  1.10e-06	  3.61e-02	2.47086e-02	2.63825e+00	3.12893e-01
 -2.20e+00	 -2.50e+00	  2.21e-05	  1.80e-03	  1.81e-06	  2.19e-02	3.72184e-02	2.63883e+00	3.97478e-01
 -2.20e+00	 -2.00e+00	  2.21e-05	  1.80e-03	  2.99e-06	  1.33e-02	5.49902e-02	2.63972e+00	4.91474e-01
 -2.20e+00	 -1.50e+00	  2.21e-05	  1.80e-03	  4.93e-06	  8.06e-03	6.33779e-02	2.64019e+00	5.42174e-01
 -2.20e+00	 -1.00e+00	  2.21e-05	  1.80e-03	  8.12e-06	  4.89e-03	6.19848e-02	2.64014e+00	5.62934e-01
 -2.20e+00	 -5.00e-01	  2.21e-05	  1.80e-03	  1.34e-05	  2.96e-03	6.07452e-02	2.64008e+00	5.69360e-01
 -2.20e+00	  0.00e+00	  2.21e-05	  1.80e-03	  2.21e-05	  1.80e-03	5.95286e-02	2.64004e+00	5.62894e-01
 -2.20e+00	  5.00e-01	  2.21e-05	  1.80e-03	  3.64e-05	  1.09e-03	5.31829e-02	2.63983e+00	5.45102e-01
 -2.20e+00	  1.00e+00	  2.21e-05	  1.80e-03	  6.00e-05	  6.61e-04	4.69368e-02	2.63962e+00	5.17621e-01
 -2.20e+00	  1.50e+00	  2.21e-05	  1.80e-03	  9.89e-05	  4.01e-04	4.09255e-02	2.63940e+00	4.82087e-01
 -2.20e+00	  2.00e+00	  2.21e-05	  1.80e-03	  1.63e-04	  2.43e-04	3.52520e-02	2.63919e+00	4.40145e-01
 -2.20e+00	  2.50e+00	  2.21e-05	  1.80e-03	  2.69e-04	  1.48e-04	2.99889e-02	2.63899e+00	3.93425e-01
 -2.20e+00	  3.00e+00	  2.21e-05	  1.80e-03	  4.43e-04	  8.95e-05	2.51791e-02	2.63879e+00	3.43494e-01
 -2.20e+00	  3.50e+00	  2.21e-05	  1.80e-03	  7.31e-04	  5.43e-05	2.08405e-02	2.63861e+00	2.91901e-01
 -2.20e+00	  4.00e+00	  2.21e-05	  1.80e-03	  1.21e-03	  3.29e-05	1.69688e-02	2.63844e+00	2.40101e-01
 -2.20e+00	  4.50e+00	  2.21e-05	  1.80e-03	  1.99e-03	  2.00e-05	1.35428e-02	2.63828e+00	1.89485e-01
 -2.20e+00	  5.00e+00	  2.21e-05	  1.80e-03	  3.28e-03	  1.21e-05	1.05294e-02	2.63814e+00	1.41355e-01
